Ana Kelime / Hedef	Yasaklı 1	Yasaklı 2	Yasaklı 3	Yasaklı 4	Yasaklı 5
Prens	Giray Altınok	Bongomia	Krallık	Komedi	BluTV
Gibi	Feyyaz Yiğit	Yılmaz	İlkkan	Ersoy	Exxen
Şahsiyet	Haluk Bilginer	Agah Beyoğlu	Unutkanlık	Köpek	Polis
Kulüp	Gökçe Bahadır	Salih Bademci	Seferad	Gazino	İstanbul
Bir Başkadır	Öykü Karayel	Meryem	Psikolog	Netflix	Berkun Oya
Masum	Haluk Bilginer	Ali Atay	Polis	Çiftlik	BluTV
Cinayet Süsü	Ali Atay	Feyyaz Yiğit	Polis	Seri Katil	Cinayet
Kuru Otlar Üstüne	Nuri Bilge Ceylan	Merve Dizdar	Erzurum	Öğretmen	Kar
Bizim İçin Şampiyon	Bold Pilot	Ekin Koç	Farah Zeynep	At	Jokey
Aşk 101	Alina Boz	Mert Yazıcıoğlu	Işık	Sinan	90'lar
Erşan Kuneri	Cem Yılmaz	Zafer Algöz	Ezgi Mola	70'ler	Netflix
Sıcak Kafa	Osman Sonant	Salgın	Abuklama	Şapka	Netflix
Kübra	Çağatay Ulusoy	Gökhan	Mesaj	Allah	Netflix
Şahmaran	Serenay Sarıkaya	Burak Deniz	Yılan	Adana	Netflix
Fatma	Burcu Biricik	Temizlikçi	Cinayet	Koca	Netflix
Yakamoz S-245	Kıvanç Tatlıtuğ	Denizaltı	Güneş	Sığınak	Netflix
Terzi	Çağatay Ulusoy	Salih Bademci	Peyami	Esvet	Netflix
Zeytin Ağacı	Tuba Büyüküstün	Seda Bakan	Aile Dizimi	Ayvalık	Netflix
Kuş Uçuşu	Birce Akalay	Miray Daner	Aslı	Lale	Televizyon
Güneşin Oğlu	Haluk Bilginer	Özkan Uğur	Ruh	Güneş	Komedi
Bihter	Aşk-ı Memnu	Farah Zeynep	Behlül	Adnan	Yalı
Pek Yakında	Cem Yılmaz	Zafer	Korsan DVD	Film	Yeşilçam
Kelebeğin Rüyası	Yılmaz Erdoğan	Kıvanç Tatlıtuğ	Şiir	Zonguldak	Verem
Vizontele Tuuba	Yılmaz Erdoğan	Tuba Ünsal	Devrim	Kütüphane	Vizontele
Ahlat Ağacı	Nuri Bilge Ceylan	Doğu Demirkol	Yazar	Çanakkale	Kuyu
Kış Uykusu	Nuri Bilge Ceylan	Haluk Bilginer	Kapadokya	Otel	Altın Palmiye
Bir Zamanlar Anadolu'da	Nuri Bilge Ceylan	Ceset	Savcı	Doktor	Bozkır
Uzak	Nuri Bilge Ceylan	Muzaffer Özdemir	Emin Toprak	Kar	İstanbul
Euphoria	Zendaya	Gençlik	Lise	HBO	Makyaj
The Mandalorian	Baby Yoda	Star Wars	Kask	Bounty Hunter	Disney+
Chernobyl	Nükleer	Radyasyon	Santral	Ukrayna	Patlama
The Crown	Kraliçe Elizabeth	İngiltere	Kraliyet	Saray	Netflix
Westworld	Robot	Park	Kovboy	Yapay Zeka	HBO
Better Call Saul	Bob Odenkirk	Avukat	Breaking Bad	Jimmy McGill	Albuquerque
Homeland	Claire Danes	CIA	Terör	Ajan	Bipolar
Downton Abbey	İngiltere	Malikane	Hizmetçi	Dük	Aristokrasi
Twin Peaks	David Lynch	Laura Palmer	Kahve	Kirazlı Pasta	Kasaba
Fleabag	Phoebe Waller-Bridge	Karakter	Rahip	Londra	Komedi
Yellowstone	Kevin Costner	Ranç	Kovboy	Montana	Dizi
Reacher	Alan Ritchson	Kaslı	Askeri Polis	Dev	Amazon
The Witcher	Henry Cavill	Geralt	Canavar	Mutant	Netflix
Loki	Tom Hiddleston	TVA	Zaman	Multiverse	Marvel
Shōgun	Japonya	Samuray	Derebeyi	FX	Kılıç
Fallout	Sığınak	Nükleer	Kıyamet	Vault 33	Amazon
Bridgerton	İngiltere	Saray	Balo	Kraliçe	Netflix
Beef	Steven Yeun	Ali Wong	Yol Öfkesi	Kavga	Netflix
Abbott Elementary	Okul	Öğretmen	Quinta Brunson	Filadelfiya	Komedi
Only Murders in the Building	Steve Martin	Martin Short	Selena Gomez	Podcast	Apartman
The Diplomat	Keri Russell	Elçi	Londra	Politika	Netflix
The Gentleman	Guy Ritchie	Kenevir	İngiliz	Dük	Netflix
Baby Reindeer	Richard Gadd	Stalker	Martha	Bira	Netflix
3 Body Problem	Uzaylı	Fizik	Çin	Kule	Netflix
Memories of Murder	Bong Joon-ho	Güney Kore	Seri Katil	Dedektif	Cinayet
Oldboy	Park Chan-wook	İntikam	Çekiç	Hapis	Güney Kore
Snatch	Guy Ritchie	Brad Pitt	Boksör	Elmas	Londra
American Psycho	Christian Bale	Patrick Bateman	Baltalı	Kart	Wall Street
L.A. Confidential	Los Angeles	Polis	Dedektif	Russell Crowe	Kim Basinger
The Usual Suspects	Keyser Söze	Kevin Spacey	Sorgu	Liman	Şüpheliler
Unforgiven	Clint Eastwood	Kovboy	Şerif	İntikam	Western
Do the Right Thing	Spike Lee	Sıcak	Pizzacı	Brooklyn	Irkçılık
Cinema Paradiso	İtalya	Projeksiyon	Sinema	Ennio Morricone	Çocukluk
Full Metal Jacket	Stanley Kubrick	Vietnam	Çavuş	Asker	Kask
Platoon	Oliver Stone	Vietnam Savaşı	Asker	Willem Dafoe	Orman
The Thing	Kurt Russell	Antarktika	Yaratık	Buzul	Korku
Raging Bull	Robert De Niro	Boksör	Jake LaMotta	Scorsese	Siyah Beyaz
Zone of Interest	Auschwitz	Nazi	Ses	Bahçe	Oscar
Past Lives	Kore	Çocukluk	Aşk	New York	Kader
Across the Spider-Verse	Miles Morales	Multiverse	Animasyon	Gwen	Spider-Cat
Guillermo del Toro's Pinocchio	Tahta	Kukla	İtalya	Stop Motion	Oscar
Tár	Cate Blanchett	Orkestra	Şef	Almanya	Müzik
The Fabelmans	Steven Spielberg	Kamera	Çocukluk	Sinema	Aile
Banshees of Inisherin	Colin Farrell	Brendan Gleeson	İrlanda	Parmak	Dostluk
CODA	İşitme Engelli	Müzik	Şarkı	Balıkçı	Oscar
Drive My Car	Japonya	Kırmızı Araba	Şoför	Tiyatro	Oscar
Minari	Yuh-Jung Youn	Kore	Çiftlik	Büyükanne	Amerika
Nomadland	Frances McDormand	Chloé Zhao	Karavan	Geçe	Oscar
Promising Young Woman	Carey Mulligan	İntikam	Doktor	Pembe	Oscar
A Clockwork Orange	Stanley Kubrick	Alex	Süt	Şiddet	Göz
The Shining	Jack Nicholson	Hotel	Balta	Stanley Kubrick	Cinnet
The Artist	Siyah Beyaz	Sessiz Film	Fransa	Köpek	Oscar
The King's Speech	Colin Firth	Kral	Kekeme	Konuşma	İngiltere
The Hurt Locker	Bomba	Irak	Kathryn Bigelow	Jeremy Renner	İmha
Slumdog Millionaire	Hindistan	Yarışma	Milyoner	Jamal	Dev Patel
Million Dollar Baby	Clint Eastwood	Hilary Swank	Boks	Kız	Nakavt
A Beautiful Mind	Russell Crowe	John Nash	Şizofreni	Matematik	Nobel
American Beauty	Kevin Spacey	Gül	Komşu	Sam Mendes	Oscar
Shakespeare in Love	Gwyneth Paltrow	Tiyatro	Şair	İngiltere	Aşk
Dances with Wolves	Kevin Costner	Kızılderili	Kurt	At	Ordu
Driving Miss Daisy	Morgan Freeman	Şoför	Yaslı Kadın	Dostluk	Amerika
Rain Man	Tom Cruise	Dustin Hoffman	Otizm	Kumarhane	Kardeş
The Last Emperor	Çin	İmparator	Bernardo Bertolucci	Yasak Şehir	Saray
Out of Africa	Meryl Streep	Robert Redford	Afrika	Kahve	Aşk
Terms of Endearment	Shirley MacLaine	Debra Winger	Anne Kız	Kanser	Gözyaşı
Gandhi	Ben Kingsley	Hindistan	Açlık Grevi	Barış	Tuz
Chariots of Fire	Koşu	Olimpiyat	Müzik	Vangelis	İngiltere
Ordinary People	Robert Redford	Aile	Trajedi	Psikolog	Kardeş
Kramer vs. Kramer	Dustin Hoffman	Meryl Streep	Boşanma	Çocuk	Velayet
The Deer Hunter	Robert De Niro	Vietnam	Rus Ruleti	Düğün	Geyik
One Flew Over the Cuckoo's Nest	Jack Nicholson	Akıl Hastanesi	Hemşire Ratched	Guguk Kuşu	Deli
Pedro Almodóvar	Yönetmen	İspanya	Kadınlar	Kırmızı	Melodram
Wong Kar-wai	Yönetmen	In the Mood for Love	Hong Kong	Müzik	Yavaş Çekim
Denzel Washington	Oyuncu	Training Day	Malcolm X	Equalizer	Oscar
Cate Blanchett	Oyuncu	Tár	Carol	Lord of the Rings	Oscar
Timothée Chalamet	Oyuncu	Dune	Wonka	Call Me By Your Name	Fransız
Andrew Scott	Oyuncu	Fleabag	Sherlock	Ripley	Moriarty
Stellan Skarsgård	Oyuncu	Dune	Chernobyl	Mamma Mia	İsveç
Alexander Skarsgård	Oyuncu	Northman	Succession	True Blood	İsveç
Bill Skarsgård	Oyuncu	IT	Pennywise	John Wick 4	İsveç
Willem Dafoe	Oyuncu	Poor Things	Spider-Man	Platoon	Yüz
J.K. Simmons	Oyuncu	Whiplash	Spider-Man	Oz	Oscar
Christoph Waltz	Oyuncu	Inglourious Basterds	Django	Tarantino	Oscar
Javier Bardem	Oyuncu	No Country for Old Men	Dune	Skyfall	İspanya
Daniel Day-Lewis	Oyuncu	There Will Be Blood	Lincoln	Gangs of New York	3 Oscar
Colin Firth	Oyuncu	King's Speech	Kingsman	Pride and Prejudice	Oscar
Ralph Fiennes	Oyuncu	Voldemort	Schindler's List	Grand Budapest	İngiliz
Ian McKellen	Oyuncu	Gandalf	Magneto	Lord of the Rings	Tiyatro
Patrick Stewart	Oyuncu	Profösör X	Star Trek	X-Men	Kaptan
Jeff Bridges	Oyuncu	Big Lebowski	Crazy Heart	Tron	Dude
Nicolas Cage	Oyuncu	Face/Off	Con Air	National Treasure	Oscar
John Travolta	Oyuncu	Pulp Fiction	Grease	Face/Off	Dans
Ethan Hawke	Oyuncu	Before Sunrise	Training Day	Boyhood	Gözlük
Michael Fassbender	Oyuncu	X-Men	Magneto	Shame	Steve Jobs
Oscar Isaac	Oyuncu	Dune	Ex Machina	Moon Knight	Star Wars
Dev Patel	Oyuncu	Slumdog Millionaire	Green Knight	Lion	İngiliz
