Ana Kelime / Hedef	Yasaklı 1	Yasaklı 2	Yasaklı 3	Yasaklı 4	Yasaklı 5
Barbie Film	Margot Robbie	Ryan Gosling	Pembe	Doll	Greta Gerwig
1917 Savaş	Sam Mendes	Tek Çekim	Birinci Dünya Savaşı	Siper	Haberci
The Irishman	Martin Scorsese	Robert De Niro	Al Pacino	Mafya	Jimmy Hoffa
Whiplash Film	Bateri	Miles Teller	J.K. Simmons	Caz	Orkestra
Her Film	Yapay Zeka	Joaquin Phoenix	Scarlett Johansson	Ses	Gelecek
Gravity Film	Sandra Bullock	Uzay	Astronot	Alfonso Cuarón	Yerçekimi
Life of Pi	Kaplan	Sandal	Okyanus	Yann Martel	Surviving
Drive Film	Ryan Gosling	Sürücü	Akrep	Ceket	Los Angeles
No Country for Old Men	Javier Bardem	Chigurh	Coen Kardeşler	Para	Çöl
There Will Be Blood	Daniel Day-Lewis	Petrol	Paul Thomas Anderson	Hırs	Kuyu
Pan's Labyrinth	Guillermo del Toro	Perili	Labirent	İspanya	Faşizm
Brokeback Mountain	Heath Ledger	Jake Gyllenhaal	Kovboy	Dağ	Ang Lee
V for Vendetta	Maske	Guy Fawkes	Hugo Weaving	Natalie Portman	Devrim
Memories of Murder	Bong Joon-ho	Güney Kore	Seri Katil	Dedektif	Cinayet
Oldboy	Park Chan-wook	İntikam	Çekiç	Hapis	Güney Kore
Snatch Film	Guy Ritchie	Brad Pitt	Boksör	Elmas	Londra
Requiem for a Dream	Bağımlılık	Darren Aronofsky	Jared Leto	Müzik	Kabus
Gladiator Film	Russell Crowe	Gladyatör	Roma	Ridley Scott	Maximus
American Psycho	Christian Bale	Patrick Bateman	Baltalı	Kart	Wall Street
Good Will Hunting	Robin Williams	Matt Damon	Matematik	Dahi	Kapıcı
L.A. Confidential	Los Angeles	Polis	Dedektif	Russell Crowe	Kim Basinger
Fargo Film	Coen Kardeşler	Kar	Hamile Polis	Fidye	Cinayet
The Usual Suspects	Keyser Söze	Kevin Spacey	Sorgu	Liman	Şüpheliler
Braveheart	Mel Gibson	İskoçya	Özgürlük	Kilt	William Wallace
Unforgiven	Clint Eastwood	Kovboy	Şerif	İntikam	Western
Goodfellas	Martin Scorsese	Ray Liotta	Joe Pesci	Mafya	Soygun
The Silence of the Lambs	Hannibal Lecter	Jodie Foster	Anthony Hopkins	Koyun	Seri Katil
Do the Right Thing	Spike Lee	Sıcak	Pizzacı	Brooklyn	Irkçılık
Cinema Paradiso	İtalya	Projeksiyon	Sinema	Ennio Morricone	Çocukluk
Full Metal Jacket	Stanley Kubrick	Vietnam	Çavuş	Asker	Kask
Platoon	Oliver Stone	Vietnam Savaşı	Asker	Willem Dafoe	Orman
Aliens Film	James Cameron	Sigourney Weaver	Yaratık	Uzay	Yumurta
Amadeus Film	Mozart	Salieri	Beste	Viyana	Kıskançlık
Scarface Film	Al Pacino	Tony Montana	Kült	Kokain	Miami
Blade Runner Film	Harrison Ford	Replikant	Ridley Scott	Gelecek	Cyberpunk
The Thing Film	Kurt Russell	Antarktika	Yaratık	Buzul	Korku
Raging Bull	Robert De Niro	Boksör	Jake LaMotta	Scorsese	Siyah Beyaz
The Bear Dizi	Mutfak	Şef	Jeremy Allen White	Restoran	Chicago
Succession	Roy Ailesi	Medya	Logan Roy	Miras	HBO
The Last of Us Dizi	Mantar	Pedro Pascal	Bella Ramsey	Kıyamet	Zombi
House of the Dragon	Targaryen	Ejderha	Westeros	Demir Taht	HBO
White Lotus	Otel	Tatil	Cinayet	Zengin	HBO
Euphoria	Zendaya	Gençlik	Lise	HBO	Makyaj
Squid Game	Güney Kore	Yeşil Eşofman	Kırmızı Işık	Para	Oyun
Ted Lasso	Futbol	Koç	Jason Sudeikis	İngiltere	Richmond
The Mandalorian	Baby Yoda	Star Wars	Kask	Bounty Hunter	Disney+
Chernobyl Dizi	Nükleer	Radyasyon	Santral	Ukrayna	Patlama
Peaky Blinders	Cillian Murphy	Şapka	Jilet	Birmingham	Gangster
Dark Dizi	Almanya	Zaman Yolculuğu	Mağara	Nükleer	Netflix
Stranger Things	Eleven	Upside Down	80'ler	Demogorgon	Hawkins
Mindhunter	FBI	Seri Katil	David Fincher	Psikoloji	Röportaj
The Crown	Kraliçe Elizabeth	İngiltere	Kraliyet	Saray	Netflix
