Ana Kelime / Hedef	Yasaklı 1	Yasaklı 2	Yasaklı 3	Yasaklı 4	Yasaklı 5
Malazgirt Meydan Muharebesi	Alparslan	1071	Bizans	Anadolu	Romanos Diogenes
İstanbul'un Fethi	Fatih Sultan Mehmet	1453	Bizans	Sur	Gemiler
Çanakkale Savaşı	1915	Mustafa Kemal	Gelibolu	Seyit Onbaşı	Anzak
Kurtuluş Savaşı	Millî Mücadele	Mustafa Kemal	TBMM	İstiklal	Sakarya
Sakarya Meydan Muharebesi	Hattı Müdafaa	Mustafa Kemal	Yunan	Başkomutan	1921
Büyük Taarruz	Başkomutanlık	30 Ağustos	Kocatepe	İzmir	Yunan
Preveze Deniz Zaferi	Barbaros Hayrettin Paşa	Kaptan-ı Derya	Haçlı	Donanma	1538
Mohaç Meydan Muharebesi	Kanuni Sultan Süleyman	Macaristan	1526	2 Saat	Zigetvar
Miryokefalon Savaşı	II. Kılıç Arslan	Bizans	Anadolu	Tapu	1176
Dandanakan Savaşı	Büyük Selçuklu	Gazneliler	Tuğrul Bey	1040	Devlet
Pasinler Savaşı	Büyük Selçuklu	Bizans	1048	Tuğrul Bey	Erzurum
Kösedağ Savaşı	İlhanlılar	Moğollar	Anadolu Selçuklu	1243	Yıkılış
Yassıçemen Savaşı	Anadolu Selçuklu	Harezmşahlar	I. Alaeddin Keykubad	1230	Erzincan
Ankara Savaşı	Yıldırım Bayezid	Timur	1402	Fetret Devri	Fil
Varna Savaşı	II. Murad	Haçlı	1444	Yılanlı	Balkanlar
II. Kosova Savaşı	II. Murad	Haçlı	1448	Balkanlar	Türk
Otlukbeli Savaşı	Fatih Sultan Mehmet	Uzun Hasan	Akkoyunlu	1473	Top
Çaldıran Savaşı	Yavuz Sultan Selim	Şah İsmail	Safevi	1514	Tüfek
Mercidabık Savaşı	Yavuz Sultan Selim	Memlükler	Mısır	1516	Suriye
Ridaniye Savaşı	Yavuz Sultan Selim	Memlükler	Mısır	1517	Halifelik
Zigetvar Kuşatması	Kanuni Sultan Süleyman	Otağ-ı Hümayun	Zrinski	1566	Son Sefer
I. Viyana Kuşatması	Kanuni Sultan Süleyman	Kış	Avusturya	1529	Surlar
II. Viyana Kuşatması	Merzifonlu Kara Mustafa Paşa	1683	Kırım	Avusturya	Bozgun
Haçova Meydan Muharebesi	III. Mehmed	Avusturya	1596	Kazan	Aşçılar
Kırım Savaşı	Rusya	Osmanlı	Florence Nightingale	1853	Sinop
93 Harbi	Nene Hatun	Gazi Osman Paşa	Plevne	Rusya	1877
Plevne Savunması	Gazi Osman Paşa	93 Harbi	Rusya	Tabyalar	Kahraman
Trablusgarp Savaşı	Mustafa Kemal	Enver Paşa	İtalya	Derne	Tobruk
Balkan Savaşları	Edirne	Hamidiye	Rauf Orbay	Bab-ı Ali	1912
I. İnönü Savaşı	İsmet İnönü	Yunanistan	TBMM	Düzenli Ordu	1921
II. İnönü Savaşı	İsmet İnönü	Mustafa Kemal	Kötü Talih	1921	Yunan
Lozan Antlaşması	İsmet İnönü	1923	İsviçre	Tapu	Sevr
Sevr Antlaşması	Ölü Doğmuş	1920	Marmaduke	İtilaf	Osmanlı
Mondros Ateşkes Antlaşması	7. Madde	Rauf Orbay	1918	İşgal	Liman
Kadeş Antlaşması	Hattuşili	Ramses	Hitit	Mısır	İlk Yazılı Antlaşma
Karlofça Antlaşması	1699	Gerileme Devri	Avusturya	Toprak Kaybı	Osmanlı
Küçük Kaynarca Antlaşması	1774	Rusya	Kırım	Tazminat	Osmanlı
Amasya Genelgesi	Mustafa Kemal	Vatanın Bütünlüğü	Milletin Azmi	1919	Cevat Abbas
