Hedef Kelime (Target Word),İpucu 1,İpucu 2,İpucu 3,İpucu 4,İpucu 5
QUEEN,ROCK,BIYIK,PIYANO,BOHEMIAN RHAPSODY,FREDDIE MERCURY
PINK FLOYD,THE WALL,PRISMA,ROCK,GITAR,INGILTERE
METALLICA,JAMES HETFIELD,HEAVY METAL,SOLO,DAVUL,ENTER SANDMAN
THE BEATLES,INGILTERE,SARI DENIZALTI,ABBEY ROAD,JOHN LENNON,PAUL MCCARTNEY
DAFT PUNK,ELEKTRONIK,FRANSIZ,KASK,GET LUCKY,ROBOT
NIRVANA,KURT COBAIN,GRUNGE,SMELLS LIKE TEEN SPIRIT,GITAR,BATERI
ACDC,BACK IN BLACK,ROCK,ANGUS YOUNG,OKUL üniforması,SHOCK
LED ZEPPELIN,INGILTERE,ROCK,GİTAR,STAIRWAY TO HEAVEN,DRUM
COLDPLAY,CHRIS MARTIN,YELLOW,POP ROCK,KONSER,RENKLI
LINKIN PARK,CHESTER BENNINGTON,NUMETAL,HYBRID THEORY,RAP ROCK,IN THE END
U2,BONO,IRLANDA,ROCK,GÖZLÜK,GUITAR
GUNS N ROSES,SLASH,AXL ROSE,SWEET CHILD O MINE,ŞAPKA,ROCK
BON JOVI,JON BON JOVI,IT'S MY LIFE,ROCK,SAÇ,GITAR
ABBA,DANCING QUEEN,ISVEÇ,POP,EUROVISION,MAMMA MIA
DEPECHE MODE,ELEKTRONIK,INGILTERE,PERSONAL JESUS,DAVE GAHAN,POP
GREEN DAY,PUNK,BOULEVARD OF BROKEN DREAMS,GITAR,BATERI,BILLIE JOE
RED HOT CHILI PEPPERS,ROCK,FLEA,BASS GITAR,CAN'T STOP,CALIFORNICATION
SCORPIONS,ALMANYA,ISLIK,WIND OF CHANGE,ROCK,SOLO
IRON MAIDEN,HEAVY METAL,EDDIE,INGILTERE,SOLO,GITAR
DEEP PURPLE,SMOKE ON THE WATER,ROCK,SOLO,GITAR,INGILTERE
SLIPKNOT,MASKE,METAL,DAVUL,KALABALIK,AMERIKA
SYSTEM OF A DOWN,METAL,TOXICITY,ERMENI,AMERIKA,GITAR
THE ROLLING STONES,MICK JAGGER,DIL,INGILTERE,YAŞLI,ROCK
OASIS,INGILTERE,ROCK,KARDEŞLER,WONDERWALL,LIAM GALLAGHER
RADIOHEAD,INGILTERE,MELANKOLIK,ROCK,THOM YORKE,ROCK
MUSE,INGILTERE,ROCK,PIYANO,MATT BELLAMY,UZAYLI
GORILLAZ,ANIME,KARAKTER,DAMON ALBARN,ELEKTRONIK,POP
MAROON 5,ADAM LEVINE,SUGAR,POP,AMERIKA,DANS
ONE DIRECTION,HARRY STYLES,POP,GENÇ,INGILTERE,GRUP
BLACKPINK,DANS,KORE,KPOP,KIZ,POP
BTS,GENÇ,DANS,GENÇ,KORE,ERKEK GRUBU
RATM,RAGE AGAINST MACHINE,POLITIK,METAL,RAP,GITAR
AUDIOSLAVE,CHRIS CORNELL,ROCK,LIKE A STONE,DAVUL,SOLO
SOUNDGARDEN,CHRIS CORNELL,BLACK HOLE SUN,GRUNGE,ROCK,SEATTLE
