Hedef Kelime (Target Word),İpucu 1,İpucu 2,İpucu 3,İpucu 4,İpucu 5,Alt Kategori (Set),Nadirlik (Rarity)
PULP FICTION,TARANTINO,DANS,ÇANTA,UMA THURMAN,JOHN TRAVOLTA,Hollywood Efsaneleri,Legendary
INTERSTELLAR,NOLAN,KARA DELIK,UZAY,ZAMAN,KÜTÜPHANE,Hollywood Efsaneleri,Legendary
THE GODFATHER,CORLEONE,MAFYA,AL PACINO,MARLON BRANDO,ITALYA,Hollywood Efsaneleri,Legendary
INCEPTION,RÜYA,TOPAÇ,NOLAN,LABIRENT,LEONARDO DICAPRIO,Hollywood Efsaneleri,Legendary
FIGHT CLUB,KURAL,EDWARD NORTON,SABUN,ŞIZOFREN,BRAD PITT,Hollywood Efsaneleri,Legendary
AVATAR,MAVI,PANDORA,JAMES CAMERON,KUYRUK,DEV,Sinema Dünyası & Terimler,Rare
JOKER,MERDIVEN,PALYAÇO,MAKYAJ,JOAQUIN PHOENIX,BATMAN,Sinema Dünyası & Terimler,Rare
THE MATRIX,SANAL,ZION,GÖZLÜK,KEANU REEVES,AJAN SMITH,Hollywood Efsaneleri,Legendary
LA LA LAND,CAZ,DANS,PIYANO,RYAN GOSLING,EMMA STONE,Sinema Dünyası & Terimler,Rare
STAR WARS,DARTH VADER,IŞIN KILIÇI,JEDI,LUKE SKYWALKER,UZAY,Hollywood Efsaneleri,Legendary
GLADIATOR,RUSSELL CROWE,ROMA,ARENA,SEZAR,IMPARATOR,Sinema Dünyası & Terimler,Epic
TITANIC,GEMI,OKYANUS,JACK,ROSE,BUZDAĞI,Hollywood Efsaneleri,Legendary
JURASSIC PARK,DINOZOR,SPIELBERG,ADA,DNA,FOSIL,Hollywood Efsaneleri,Legendary
THE DARK KNIGHT,SERİ,NOLAN,JOKER,GOTHAM,HEATH LEDGER,Hollywood Efsaneleri,Legendary
HARRY POTTER,BÜYÜ,ASA,HOGWARTS,VOLDEMORT,HERMIONE,Sinema Dünyası & Terimler,Epic
THE HOBBIT,CÜCE,EJDERHA,BILBO BAGGINS,GANDALF,YÜZÜK,Sinema Dünyası & Terimler,Rare
FORREST GUMP,TOM HANKS,ÇIKOLATA,BANK,KOŞMAK,KUTUSU,Sinema Dünyası & Terimler,Epic
THE SHINNING,KORKU,BALTA,KAR,OTEL,JACK NICHOLSON,Sinema Dünyası & Terimler,Rare
SE7EN,GÜNAH,KUTU,BRAD PITT,DEDEKTIF,KATIL,Hollywood Efsaneleri,Legendary
WHIPLASH,MÜZİK,KONSERVATUAR,CAZ,BATERI,DAVUL,Sinema Dünyası & Terimler,Rare
PARASITE,KORE,OSCAR,EV,BODRUM,ZENGIN,Kült Filmler & Yönetmenler,Rare
TERMINATOR,ROBOT,GELECEK,MAKINELER,SCHWARZENEGGER,METAL,Sinema Dünyası & Terimler,Rare
THE TRUMAN SHOW,TV,SAHTE,KAMERA,DÜNYA,JIM CARREY,Sinema Dünyası & Terimler,Rare
CARS,YARIŞ,PASPAS,RADYATÖR,SIMŞEK MCQUEEN,ARABA,Hollywood Efsaneleri,Legendary
TOY STORY,OYUNCAK,ROBOT,ANDY,WOODY,BUZZ LIGHTYEAR,Sinema Dünyası & Terimler,Rare
SHREK,BATAKLIK,EŞEK,PRENSES,YEŞIL,DEV,Sinema Dünyası & Terimler,Rare
THE LION KING,MUFASA,SIMBA,ORMAN,KRAL,ASLAN,Sinema Dünyası & Terimler,Rare
UP,BALON,EV,YAŞLI,UÇMAK,KÖPEK,Sinema Dünyası & Terimler,Rare
FINDING NEMO,OKYANUS,TURUNCU,KAYIP,BALIK,DORY,Sinema Dünyası & Terimler,Rare
WALL-E,ROBOT,ÇÖP,DÜNYA,EVE,UZAY,Sinema Dünyası & Terimler,Rare
PULP FICTION,TARANTINO,UMA THURMAN,JOHN TRAVOLTA,DANS,ÇANTA,Hollywood Efsaneleri,Legendary
AMELIE,FRANSIZ,PARIS,KIRMIZI,AŞK,FOTOĞRAF,Sinema Dünyası & Terimler,Rare
PSYCHO,ALFRED HITCHCOCK,DUŞ,BIÇAK,OTEL,BATES,Hollywood Efsaneleri,Legendary
JAWS,SPIELBERG,OKYANUS,PLAJ,DİŞ,KÖPEKBALIĞI,Hollywood Efsaneleri,Legendary
DUNKIRK,NOLAN,SAVAŞ,ASKER,GEMI,UÇAK,Hollywood Efsaneleri,Legendary
OPPENHEIMER,BOMBA,SAVAŞ,FİZİKÇİ,ATOM,NOLAN,Hollywood Efsaneleri,Legendary
CASABLANCA,Humphrey Bogart,Rick,AŞK,PIYANO,FAS,Sinema Dünyası & Terimler,Rare
SNAKES ON A PLANE,SAMUEL L. JACKSON,UÇAK,ZEHIRLI,YOLCU,YILAN,Sinema Dünyası & Terimler,Rare
ALIEN,SIGOURNEY WEAVER,YUMURTA,GEÇİT,YARATIK,UZAY,Sinema Dünyası & Terimler,Rare
BACK TO THE FUTURE,MARTY MCFLY,DOKTOR,GELECEK,ZAMAN MAKINESI,DELOREAN,Sinema Dünyası & Terimler,Rare
ROCKY,BOKS,RING,SYLVESTER STALLONE,ANTRENMAN,BALBOA,Sinema Dünyası & Terimler,Rare
DIE HARD,NAKATOMI PLAZA,TERÖRIST,YILBAŞI,BRUCE WILLIS,POLIS,Sinema Dünyası & Terimler,Rare
HOME ALONE,YALNIZ,TUZAK,HIRSIZ,MACAULAY CULKIN,NOEL,Sinema Dünyası & Terimler,Rare
GHOSTBUSTERS,EKTO-1,NEW YORK,YEŞIL,HAYALET,AVCI,Sinema Dünyası & Terimler,Rare
PIRATES OF CARIBBEAN,GEMI,OKYANUS,HAZINE,JACK SPARROW,GEMI,Sinema Dünyası & Terimler,Rare
JUMANJI,ZAR,OYUN,ORMAN,ROBIN WILLIAMS,HAYVAN,Sinema Dünyası & Terimler,Rare
THE REVENANT,OSCAR,KAR,SOĞUK,AYI,LEONARDO DICAPRIO,Hollywood Efsaneleri,Legendary
MAD MAX FURY ROAD,AKSIYON,ARABA,ÇÖL,CHARLIZE THERON,TOM HARDY,Sinema Dünyası & Terimler,Rare
THE DEPARTED,POLIS,DICAPRIO,MATT DAMON,JACK NICHOLSON,İSPİYON,Hollywood Efsaneleri,Legendary
CATCH ME IF YOU CAN,SAHTEKAR,DOKTOR,DICAPRIO,TOM HANKS,PİLOT,Hollywood Efsaneleri,Legendary
BLOOD DIAMOND,ELMAS,AFRIKA,DICAPRIO,KAÇAKÇI,SAVAŞ,Hollywood Efsaneleri,Legendary
SHUTTER ISLAND,DEDEKTIF,AKIL HASTANESI,GİZEM,DICAPRIO,ADA,Hollywood Efsaneleri,Legendary
THE GREAT GATSBY,ZENGIN,PARTI,DICAPRIO,AŞK,MALIKANE,Hollywood Efsaneleri,Legendary
THE MARTIAN,UZAY,PATATES,MATT DAMON,EVE DÖNÜŞ,KIZIL GEZEGEN,Sinema Dünyası & Terimler,Rare
GRAVITY,UZAY,SANDRA BULLOCK,ISTASYON,GEORGE CLOONEY,YER ÇEKİMİ,Sinema Dünyası & Terimler,Rare
THE PRESTIGE,CHRISTIAN BALE,HUGH JACKMAN,TESLA,SİHİRBAZ,ILLÜZYON,Sinema Dünyası & Terimler,Rare
MEMENTO,FOTOĞRAF,DÖVME,HAFIZA,KAYIP,NOLAN,Hollywood Efsaneleri,Legendary
TENET,AKSIYON,NOLAN,AJAN,ZAMAN,TERSINE,Hollywood Efsaneleri,Legendary
INSOMNIA,DEDEKTIF,ALASKA,AL PACINO,UYKUSUZLUK,NOLAN,Hollywood Efsaneleri,Legendary
ZODIAC,KATIL,GAZETE,DEDEKTIF,ROBERT DOWNEY JR,FINCHER,Sinema Dünyası & Terimler,Rare
THE SOCIAL NETWORK,FACEBOOK,ZUCKERBERG,INTERNET,HARVARD,FINCHER,Sinema Dünyası & Terimler,Epic
