Ana Kelime,Yasaklı Kelime 1 (İpucu),Yasaklı Kelime 2,Yasaklı Kelime 3,Yasaklı Kelime 4,Yasaklı Kelime 5,Alt Kategori (Set),Nadirlik (Rarity)
Lionel Messi,Barcelona,Sol Ayak,GOAT,Ronaldo,Arjantin,Kulüpler & Mabedler,Epic
Cristiano Ronaldo,Juventus,Portekiz,Messi,7 Numara,Real Madrid,Kulüpler & Mabedler,Epic
Diego Maradona,Napoli,Arjantin,Tanrının Eli,10 Numara,Efsane,Kulüpler & Mabedler,Epic
Pele,Santos,10 Numara,Brezilya,Dünya Kupası,Efsane,Kupalar & Turnuvalar,Epic
Zinedine Zidane,Cezayir,Fransa,Juventus,Materazzi,Real Madrid,Kulüpler & Mabedler,Epic
Ronaldinho,PSG,Milan,Çalım,Gülümseme,Barcelona,Kulüpler & Mabedler,Epic
Ronaldo,Barcelona,Inter,Real Madrid,Sakatlık,No 9,Kulüpler & Mabedler,Epic
Thierry Henry,Barcelona,Arsenal,Plase,Forvet,Fransa,Kulüpler & Mabedler,Epic
Andres Iniesta,Dünya Kupası,İspanya,Barcelona,Pas,Orta Saha,Kupalar & Turnuvalar,Epic
Xavi Hernandez,Orta Saha,Tiki Taka,Messi,Barcelona,Iniesta,Kulüpler & Mabedler,Epic
Johan Cruyff,Ajax,Total Futbol,Hollanda,Barcelona,Efsane,Kulüpler & Mabedler,Epic
Paolo Maldini,Defans,Kaptan,Milan,İtalya,Efsane,Kulüpler & Mabedler,Epic
Roberto Carlos,Real Madrid,Brezilya,Fenerbahçe,Sol Bek,Frikik,Kulüpler & Mabedler,Epic
Kaka Leite,Ballon dOr,Orta Saha,Real Madrid,Brezilya,Milan,Kupalar & Turnuvalar,Epic
Luka Modric,Ballon dOr,Real Madrid,Orta Saha,Rakitic,Hırvatistan,Kupalar & Turnuvalar,Epic
Karim Benzema,Ballon dOr,Lyon,Forvet,Fransa,Real Madrid,Kupalar & Turnuvalar,Epic
Robert Lewandowski,Dortmund,Forvet,Bayern Münih,Barcelona,Polonya,Kulüpler & Mabedler,Epic
"Neymar ",PSG,Brezilya,Barcelona,Çalım,Santos,Kulüpler & Mabedler,Epic
Kylian Mbappe,Dünya Kupası,Monaco,Hız,PSG,Real Madrid,Kupalar & Turnuvalar,Epic
Erling Haaland,Dortmund,Manchester City,Fizik,Norveç,Gol,Kulüpler & Mabedler,Epic
