Hedef Kelime (Target Word),İpucu 1,İpucu 2,İpucu 3,İpucu 4,İpucu 5,Alt Kategori (Set),Nadirlik (Rarity)
QUEEN,ROCK,BIYIK,PIYANO,BOHEMIAN RHAPSODY,FREDDIE MERCURY,Efsanevi Sanatçılar & Gruplar,Legendary
PINK FLOYD,THE WALL,PRISMA,ROCK,GITAR,INGILTERE,Efsanevi Sanatçılar & Gruplar,Legendary
METALLICA,JAMES HETFIELD,HEAVY METAL,SOLO,DAVUL,ENTER SANDMAN,Efsanevi Sanatçılar & Gruplar,Legendary
THE BEATLES,INGILTERE,SARI DENIZALTI,ABBEY ROAD,JOHN LENNON,PAUL MCCARTNEY,Efsanevi Sanatçılar & Gruplar,Legendary
DAFT PUNK,ELEKTRONIK,FRANSIZ,KASK,GET LUCKY,ROBOT,Müzik Evreni & Enstrümanlar,Rare
NIRVANA,KURT COBAIN,GRUNGE,SMELLS LIKE TEEN SPIRIT,GITAR,BATERI,Efsanevi Sanatçılar & Gruplar,Legendary
ACDC,BACK IN BLACK,ROCK,ANGUS YOUNG,OKUL üniforması,SHOCK,Müzik İkonları & Tarzlar,Rare
LED ZEPPELIN,INGILTERE,ROCK,GİTAR,STAIRWAY TO HEAVEN,DRUM,Müzik İkonları & Tarzlar,Epic
COLDPLAY,CHRIS MARTIN,YELLOW,POP ROCK,KONSER,RENKLI,Müzik İkonları & Tarzlar,Rare
LINKIN PARK,CHESTER BENNINGTON,NUMETAL,HYBRID THEORY,RAP ROCK,IN THE END,Müzik İkonları & Tarzlar,Rare
U2,BONO,IRLANDA,ROCK,GÖZLÜK,GUITAR,Müzik İkonları & Tarzlar,Rare
GUNS N ROSES,SLASH,AXL ROSE,SWEET CHILD O MINE,ŞAPKA,ROCK,Müzik İkonları & Tarzlar,Epic
BON JOVI,JON BON JOVI,IT'S MY LIFE,ROCK,SAÇ,GITAR,Müzik İkonları & Tarzlar,Rare
ABBA,DANCING QUEEN,ISVEÇ,POP,EUROVISION,MAMMA MIA,Efsanevi Sanatçılar & Gruplar,Legendary
DEPECHE MODE,ELEKTRONIK,INGILTERE,PERSONAL JESUS,DAVE GAHAN,POP,Müzik İkonları & Tarzlar,Rare
GREEN DAY,PUNK,BOULEVARD OF BROKEN DREAMS,GITAR,BATERI,BILLIE JOE,Müzik Evreni & Enstrümanlar,Rare
RED HOT CHILI PEPPERS,ROCK,FLEA,BASS GITAR,CAN'T STOP,CALIFORNICATION,Müzik İkonları & Tarzlar,Rare
SCORPIONS,ALMANYA,ISLIK,WIND OF CHANGE,ROCK,SOLO,Müzik İkonları & Tarzlar,Rare
IRON MAIDEN,HEAVY METAL,EDDIE,INGILTERE,SOLO,GITAR,Müzik İkonları & Tarzlar,Epic
DEEP PURPLE,SMOKE ON THE WATER,ROCK,SOLO,GITAR,INGILTERE,Müzik İkonları & Tarzlar,Epic
SLIPKNOT,MASKE,METAL,DAVUL,KALABALIK,AMERIKA,Müzik İkonları & Tarzlar,Rare
SYSTEM OF A DOWN,METAL,TOXICITY,ERMENI,AMERIKA,GITAR,Müzik İkonları & Tarzlar,Rare
THE ROLLING STONES,MICK JAGGER,DIL,INGILTERE,YAŞLI,ROCK,Müzik İkonları & Tarzlar,Rare
OASIS,INGILTERE,ROCK,KARDEŞLER,WONDERWALL,LIAM GALLAGHER,Müzik İkonları & Tarzlar,Rare
RADIOHEAD,INGILTERE,MELANKOLIK,ROCK,THOM YORKE,ROCK,Müzik İkonları & Tarzlar,Rare
MUSE,INGILTERE,ROCK,PIYANO,MATT BELLAMY,UZAYLI,Müzik İkonları & Tarzlar,Rare
GORILLAZ,ANIME,KARAKTER,DAMON ALBARN,ELEKTRONIK,POP,Müzik İkonları & Tarzlar,Rare
MAROON 5,ADAM LEVINE,SUGAR,POP,AMERIKA,DANS,Müzik İkonları & Tarzlar,Rare
ONE DIRECTION,HARRY STYLES,POP,GENÇ,INGILTERE,GRUP,Müzik İkonları & Tarzlar,Rare
BLACKPINK,DANS,KORE,KPOP,KIZ,POP,Müzik İkonları & Tarzlar,Rare
BTS,GENÇ,DANS,GENÇ,KORE,ERKEK GRUBU,Müzik Evreni & Enstrümanlar,Rare
RATM,RAGE AGAINST MACHINE,POLITIK,METAL,RAP,GITAR,Müzik İkonları & Tarzlar,Rare
AUDIOSLAVE,CHRIS CORNELL,ROCK,LIKE A STONE,DAVUL,SOLO,Müzik İkonları & Tarzlar,Rare
SOUNDGARDEN,CHRIS CORNELL,BLACK HOLE SUN,GRUNGE,ROCK,SEATTLE,Müzik İkonları & Tarzlar,Rare
PEARL JAM,EDDIE VEDDER,GRUNGE,SEATTLE,ALIVE,ROCK,Müzik İkonları & Tarzlar,Rare
FOO FIGHTERS,DAVE GROHL,ROCK,NIRVANA,DAVUL,GITAR,Efsanevi Sanatçılar & Gruplar,Legendary
