Hedef Kelime (Target Word),İpucu 1,İpucu 2,İpucu 3,İpucu 4,İpucu 5
PULP FICTION,TARANTINO,DANS,ÇANTA,UMA THURMAN,JOHN TRAVOLTA
INTERSTELLAR,NOLAN,KARA DELIK,UZAY,ZAMAN,KÜTÜPHANE
THE GODFATHER,CORLEONE,MAFYA,AL PACINO,MARLON BRANDO,ITALYA
INCEPTION,RÜYA,TOPAÇ,NOLAN,LABIRENT,LEONARDO DICAPRIO
FIGHT CLUB,KURAL,EDWARD NORTON,SABUN,ŞIZOFREN,BRAD PITT
AVATAR,MAVI,PANDORA,JAMES CAMERON,KUYRUK,DEV
JOKER,MERDIVEN,PALYAÇO,MAKYAJ,JOAQUIN PHOENIX,BATMAN
THE MATRIX,SANAL,ZION,GÖZLÜK,KEANU REEVES,AJAN SMITH
LA LA LAND,CAZ,DANS,PIYANO,RYAN GOSLING,EMMA STONE
STAR WARS,DARTH VADER,IŞIN KILIÇI,JEDI,LUKE SKYWALKER,UZAY
GLADIATOR,RUSSELL CROWE,ROMA,ARENA,SEZAR,IMPARATOR
TITANIC,GEMI,OKYANUS,JACK,ROSE,BUZDAĞI
JURASSIC PARK,DINOZOR,SPIELBERG,ADA,DNA,FOSIL
THE DARK KNIGHT,SERİ,NOLAN,JOKER,GOTHAM,HEATH LEDGER
HARRY POTTER,BÜYÜ,ASA,HOGWARTS,VOLDEMORT,HERMIONE
THE HOBBIT,CÜCE,EJDERHA,BILBO BAGGINS,GANDALF,YÜZÜK
FORREST GUMP,TOM HANKS,ÇIKOLATA,BANK,KOŞMAK,KUTUSU
THE SHINNING,KORKU,BALTA,KAR,OTEL,JACK NICHOLSON
SE7EN,GÜNAH,KUTU,BRAD PITT,DEDEKTIF,KATIL
WHIPLASH,MÜZİK,KONSERVATUAR,CAZ,BATERI,DAVUL
PARASITE,KORE,OSCAR,EV,BODRUM,ZENGIN
TERMINATOR,ROBOT,GELECEK,MAKINELER,SCHWARZENEGGER,METAL
THE TRUMAN SHOW,TV,SAHTE,KAMERA,DÜNYA,JIM CARREY
CARS,YARIŞ,PASPAS,RADYATÖR,SIMŞEK MCQUEEN,ARABA
TOY STORY,OYUNCAK,ROBOT,ANDY,WOODY,BUZZ LIGHTYEAR
SHREK,BATAKLIK,EŞEK,PRENSES,YEŞIL,DEV
THE LION KING,MUFASA,SIMBA,ORMAN,KRAL,ASLAN
UP,BALON,EV,YAŞLI,UÇMAK,KÖPEK
FINDING NEMO,OKYANUS,TURUNCU,KAYIP,BALIK,DORY
WALL-E,ROBOT,ÇÖP,DÜNYA,EVE,UZAY
PULP FICTION,TARANTINO,UMA THURMAN,JOHN TRAVOLTA,DANS,ÇANTA
AMELIE,FRANSIZ,PARIS,KIRMIZI,AŞK,FOTOĞRAF
PSYCHO,ALFRED HITCHCOCK,DUŞ,BIÇAK,OTEL,BATES
JAWS,SPIELBERG,OKYANUS,PLAJ,DİŞ,KÖPEKBALIĞI
DUNKIRK,NOLAN,SAVAŞ,ASKER,GEMI,UÇAK
OPPENHEIMER,BOMBA,SAVAŞ,FİZİKÇİ,ATOM,NOLAN
CASABLANCA,Humphrey Bogart,Rick,AŞK,PIYANO,FAS
SNAKES ON A PLANE,SAMUEL L. JACKSON,UÇAK,ZEHIRLI,YOLCU,YILAN
ALIEN,SIGOURNEY WEAVER,YUMURTA,GEÇİT,YARATIK,UZAY
BACK TO THE FUTURE,MARTY MCFLY,DOKTOR,GELECEK,ZAMAN MAKINESI,DELOREAN
ROCKY,BOKS,RING,SYLVESTER STALLONE,ANTRENMAN,BALBOA
DIE HARD,NAKATOMI PLAZA,TERÖRIST,YILBAŞI,BRUCE WILLIS,POLIS
HOME ALONE,YALNIZ,TUZAK,HIRSIZ,MACAULAY CULKIN,NOEL
GHOSTBUSTERS,EKTO-1,NEW YORK,YEŞIL,HAYALET,AVCI
PIRATES OF CARIBBEAN,GEMI,OKYANUS,HAZINE,JACK SPARROW,GEMI
JUMANJI,ZAR,OYUN,ORMAN,ROBIN WILLIAMS,HAYVAN
THE REVENANT,OSCAR,KAR,SOĞUK,AYI,LEONARDO DICAPRIO
MAD MAX FURY ROAD,AKSIYON,ARABA,ÇÖL,CHARLIZE THERON,TOM HARDY
THE DEPARTED,POLIS,DICAPRIO,MATT DAMON,JACK NICHOLSON,İSPİYON
CATCH ME IF YOU CAN,SAHTEKAR,DOKTOR,DICAPRIO,TOM HANKS,PİLOT
BLOOD DIAMOND,ELMAS,AFRIKA,DICAPRIO,KAÇAKÇI,SAVAŞ
SHUTTER ISLAND,DEDEKTIF,AKIL HASTANESI,GİZEM,DICAPRIO,ADA
THE GREAT GATSBY,ZENGIN,PARTI,DICAPRIO,AŞK,MALIKANE
THE MARTIAN,UZAY,PATATES,MATT DAMON,EVE DÖNÜŞ,KIZIL GEZEGEN
GRAVITY,UZAY,SANDRA BULLOCK,ISTASYON,GEORGE CLOONEY,YER ÇEKİMİ
THE PRESTIGE,CHRISTIAN BALE,HUGH JACKMAN,TESLA,SİHİRBAZ,ILLÜZYON
MEMENTO,FOTOĞRAF,DÖVME,HAFIZA,KAYIP,NOLAN
TENET,AKSIYON,NOLAN,AJAN,ZAMAN,TERSINE
INSOMNIA,DEDEKTIF,ALASKA,AL PACINO,UYKUSUZLUK,NOLAN
ZODIAC,KATIL,GAZETE,DEDEKTIF,ROBERT DOWNEY JR,FINCHER
THE SOCIAL NETWORK,FACEBOOK,ZUCKERBERG,INTERNET,HARVARD,FINCHER
GONE GIRL,KAYIP,EŞ,BEN AFFLECK,GIZEM,FINCHER
PANIC ROOM,ODA,KASA,HIRSIZ,JODIE FOSTER,SIĞINAK
THE GAME,OYUN,MICHAEL DOUGLAS,GIZEM,FINCHER,HEDIYE
SEVEN,GÜNAH,DEDEKTIF,BRAD PITT,KATIL,FINCHER
ALIEN 3,YARATIK,HAPISHANE,SIGOURNEY WEAVER,UZAY,FINCHER
THE CURIOUS CASE,BENJAMIN BUTTON,YAŞLANMAK,BRAD PITT,TERSE,FINCHER
PULP FICTION,TARANTINO,TRAVOLTA,DANS,UMA THURMAN,ÇANTA
RESERVOIR DOGS,SOYGUN,ELMAS,TARANTINO,DEPO,RENKLER
KILL BILL,SARU ELBISE,SAMURAY,UMA THURMAN,INTIKAM,GELIN
INGLOURIOUS BASTERDS,SAVAŞ,NAZI,BRAD PITT,TARANTINO,ALMANYA
DJANGO UNCHAINED,KÖLE,ZENCIRSIZ,DICAPRIO,TARANTINO,SILAH
ONCE UPON A TIME,HOLLYWOOD,BRAD PITT,DICAPRIO,TARANTINO,AKTÖR
THE HATEFUL EIGHT,KAR,POSTA ARABASI,KULÜBE,TARANTINO,SILAH
DEATH PROOF,ARABA,DUBLÖR,TARANTINO,KAZA,KURT RUSSELL
JACKIE BROWN,UÇAK,PARA,TARANTINO,PAM GRIER,KURYELER
REAR WINDOW,PENCERE,ALFRED HITCHCOCK,DÜRBIN,KOMŞU,KATIL
VERTIGO,YÜKSEKLIK,KORKU,HITCHCOCK,KÖPRÜ,SAN FRANSISCO
NORTH BY NORTHWEST,UÇAK,TARLA,CARY GRANT,HITCHCOCK,HILAL
THE BIRDS,KUŞLAR,SALDIRI,HITCHCOCK,KASABA,KORKU
ROPE,IP,DAIRE,SANDIK,CINAYET,HITCHCOCK
DIAL M FOR MURDER,TELEFON,CINAYET,HITCHCOCK,ANAHTAR,EŞ
THE TERMINATOR,ROBOT,ARNOLD,GELECEK,SARAH CONNOR,JAMES CAMERON
ALIENS,YARATIK,SIGOURNEY WEAVER,JAMES CAMERON,ASKER,GEÇIT
THE ABYSS,DENIZALTI,OKYANUS,JAMES CAMERON,UZAYLI,DERIN
TITANIC,JACK,ROSE,GEMI,JAMES CAMERON,BUZDAĞI
AVATAR,PANDORA,JAMES CAMERON,MAVI,AĞAÇ,OKYANUS
SCHINDLER'S LIST,NAZI,ALMANYA,SPIELBERG,SAVAŞ,KUTSAL
SAVING PRIVATE RYAN,NORMANDIYA,TOM HANKS,SPIELBERG,ASKER,SAVAŞ
JAWS,KÖPEKBALIĞI,OKYANUS,SPIELBERG,PLAJ,DIŞ
E.T.,UZAYLI,BISIKLET,PARMAK,SPIELBERG,ÇOCUK
JURASSIC PARK,DINOZOR,ADA,SPIELBERG,PARK,DNA
INDIANA JONES,KAMÇI,ŞAPKA,HARRISON FORD,SPIELBERG,ARKEOLOG
CLOSE ENCOUNTERS,UZAYLI,IŞIK,SPIELBERG,DAĞ,UFO
MINORITY REPORT,GELECEK,TOM CRUISE,SPIELBERG,POLIS,CINAYET
CATCH ME IF YOU CAN,SAHTEKAR,DICAPRIO,SPIELBERG,TOM HANKS,DOLANDIRICI
WAR OF THE WORLDS,UZAYLI,ISTILA,TOM CRUISE,SPIELBERG,ROBOT
LEONARDO DICAPRIO,TITANIC,OSCAR,INCEPTION,REVENANT,AKTÖR
BRAD PITT,FIGHT CLUB,SEVEN,ANGELINA JOLIE,YAKIŞIKLI,OSCAR
TOM HANKS,FORREST GUMP,CAST AWAY,OSCAR,TOY STORY,AKTÖR
AL PACINO,GODFATHER,SCARFACE,SCENT OF A WOMAN,MICHAEL CORLEONE,AKTÖR
ROBERT DE NIRO,TAXI DRIVER,GODFATHER,GOODFELLAS,OSCAR,AKTÖR
JOHNNY DEPP,KORSAN,JACK SPARROW,MAKAS ELLER,ALICE,AMBER HEARD
TOM CRUISE,MISSION IMPOSSIBLE,TOP GUN,SILAH,DUBLÖR,AKSIYON
WILL SMITH,MEN IN BLACK,OSCAR,TOKAT,RAP,I AM LEGEND
KEANU REEVES,MATRIX,JOHN WICK,NEO,SPEED,KANADA
CHRISTIAN BALE,BATMAN,PRESTIGE,MAKINEST,ZAYIFLAMAK,OSCAR
MATT DAMON,BOURNE,INTERSTELLAR,MARTIAN,BRAD PITT,AKTÖR
MORGAN FREEMAN,SES,TANRI,SHAWSHANK,YAŞLI,OSCAR
JACK NICHOLSON,SHINING,BATMAN,JOKER,DEPARTED,OSCAR
CLINT EASTWOOD,KOVBOY,SILAH,YÖNETMEN,DURAN ADAM,AKTÖR
MERYL STREEP,OSCAR,DEVIL WEARS PRADA,MAMMA MIA,AKTRIS,ADAYLIK
ANGELINA JOLIE,BRAD PITT,LARA CROFT,AKTRIS,DÖVME,GÜZEL
SCARLETT JOHANSSON,BLACK WIDOW,AVENGERS,MARVEL,AKTRIS,SARISIN
JENNIFER LAWRENCE,HUNGER GAMES,KATNISS,OSCAR,AKTRIS,DÜŞMEK
EMMA STONE,LA LA LAND,SPIDER MAN,OSCAR,AKTRIS,KIZIL
MARGOT ROBBIE,BARBIE,HARLEY QUINN,WOLF OF WALL STREET,SARISIN,AKTRIS
NATALIE PORTMAN,LEON,MATHILDA,BLACK SWAN,OSCAR,STAR WARS
JULIA ROBERTS,PRETTY WOMAN,OSCAR,GÜLÜŞ,AKTRIS,AŞK
KATE WINSLET,TITANIC,ROSE,OSCAR,AKTRIS,INGILTERE
ANNE HATHAWAY,DEVIL WEARS PRADA,BATMAN,LES MISERABLES,OSCAR,AKTRIS
SANDRA BULLOCK,SPEED,GRAVITY,OSCAR,AKTRIS,AŞK
NICOLE KIDMAN,OSCAR,TOM CRUISE,SAATLER,AVUSTRALYA,AKTRIS
CHARLIZE THERON,MAD MAX,MONSTER,OSCAR,AKTRIS,SARISIN
PENELOPE CRUZ,ISPANYOL,JAVIER BARDEM,OSCAR,AKTRIS,GÜZEL
EMMA WATSON,HARRY POTTER,HERMIONE,BEAUTY AND THE BEAST,INGILTERE,AKTRIS
JENNIFER ANISTON,FRIENDS,RACHEL,BRAD PITT,AKTRIS,SAÇ
BRUCE WILLIS,DIE HARD,ZOR ÖLÜM,PULP FICTION,KEL,AKSIYON
ARNOLD SCHWARZENEGGER,TERMINATOR,KAS,VALI,AVUSTURYA,ROBOT
SYLVESTER STALLONE,ROCKY,RAMBO,BOKS,AKSIYON,YAZAR
JACKIE CHAN,KUNG FU,ÇIN,DÖVÜŞ,KOMEDI,DUBLÖR
LIAM NEESON,TAKEN,KIZIM,SILAH,AKSIYON,INGILTERE
HUGH JACKMAN,WOLVERINE,X-MEN,PRESTIGE,AVUSTRALYA,PENÇE
DANIEL RADCLIFFE,HARRY POTTER,GÖZLÜK,BÜYÜCÜ,ASA,INGILTERE
ROBERT DOWNEY JR,IRON MAN,AVENGERS,MARVEL,SHERLOCK,OSCAR
MARK WAHLBERG,MATT DAMON,AKSIYON,KAS,DEPARTED,RAP
DWAYNE JOHNSON,KAYA,KAS,GÜREŞ,KEL,ROCK
VIN DIESEL,ARABA,AKSİYON,KEL,SES,DOMINIC
JASON STATHAM,TRANSPORTER,KEL,INGILTERE,DÖVÜŞ,ARABA
DANIEL CRAIG,INGILTERE,GÖZ,AJAN,7,JAMES BOND
RYAN REYNOLDS,DEADPOOL,MARVEL,KOMEDI,BLAKE LIVELY,KIRMIZI
CHRIS HEMSWORTH,THOR,MARVEL,ÇEKIÇ,AVUSTRALYA,AVENGERS
CHRIS EVANS,CAPTAIN AMERICA,MARVEL,KALKAN,AVENGERS,AKTÖR
BEN AFFLECK,BATMAN,JENNIFER LOPEZ,ARGO,OSCAR,AKTÖR
JARED LETO,JOKER,SAÇ,MÜZISYEN,30 SECONDS TO MARS,OSCAR
JOAQUIN PHOENIX,JOKER,GLADYATÖR,OSCAR,VEGAN,ROMA
HEATH LEDGER,JOKER,DARK KNIGHT,OSCAR,ÖLÜM,AVUSTRALYA
SAMUEL L JACKSON,PULP FICTION,NICK FURY,MARVEL,GÖZLÜK,Zenci
ANTHONY HOPKINS,HANNIBAL LECTER,KUZULARIN SESSIZLIĞI,OSCAR,YAŞLI,INGILTERE
DABNEY COLEMAN,AKTÖR,9 TO 5,BIYIK,TV,DRAM
CLINT EASTWOOD,KOVBOY,SILAH,YÖNETMEN,DURAN ADAM,OSCAR
BENEDICT CUMBERBATCH,SHERLOCK,DR STRANGE,MARVEL,INGILTERE,SES
TOM HIDDLESTON,LOKI,MARVEL,THOR,INGILTERE,AVENGERS
IDRIS ELBA,LUTHER,INGILTERE,AVENGERS,Zenci,AKTÖR
GARY OLDMAN,BATMAN,HARRY POTTER,SIRIUS BLACK,OSCAR,INGILTERE
EDWARD NORTON,FIGHT CLUB,HULK,AMERICAN HISTORY X,OSCAR,AKTÖR
ROWAN ATKINSON,MR BEAN,KOMEDI,ARABA,INGILTERE,JOHNNY ENGLISH
JIM CARREY,KOMEDI,MASKE,TRUMAN SHOW,YEŞIL,SALAK İLE AVANAK
ROBIN WILLIAMS,JUMANJI,DEAD POETS,OSCAR,KOMEDI,MIMIK
STEVE CARELL,THE OFFICE,MICHAEL SCOTT,KOMEDI,AMERIKA,DRAM
WILL FERRELL,KOMEDI,ANCHORMAN,AMERIKA,BOY,SAÇ
BEN STILLER,NIGHT AT THE MUSEUM,ZOOLANDER,KOMEDI,AMERIKA,AKTÖR
ADAM SANDLER,KOMEDI,AMERIKA,AŞK,GÜLMEK,PANTOLON
SETH ROGEN,KOMEDI,GÖZLÜK,SAKAL,SES,KANADA
JONAH HILL,WOLF OF WALL STREET,SUPERBAD,ZAYIFLAMAK,KOMEDI,OSCAR
ZAC EFRON,HIGH SCHOOL MUSICAL,KAS,AMERIKA,GÖZ,AKTÖR
TIMOTHEE CHALAMET,DUNE,WONKA,GENÇ,KIVIRCIK SAÇ,AŞK
TOM HOLLAND,SPIDER MAN,MARVEL,ZENDAYA,INGILTERE,AVENGERS
ZENDAYA,SPIDER MAN,EUPHORIA,DUNE,TOM HOLLAND,AKTRIS
FLORENCE PUGH,DUNE,OPPENHEIMER,AKTRIS,INGILTERE,GÜZEL
SAOIRSE RONAN,LITTLE WOMEN,OSCAR,IRLANDA,AKTRIS,GÖZ
EMILY BLUNT,OPPENHEIMER,A QUIET PLACE,INGILTERE,AKTRIS,OSCAR
JESSICA CHASTAIN,INTERSTELLAR,OSCAR,KIZIL,AKTRIS,GÜZEL
AMY ADAMS,ARRIVAL,OSCAR,KIZIL,AKTRIS,SUPERMAN
LUPITA NYONG'O,OSCAR,BLACK PANTHER,Zenci,AKTRIS,12 YEARS A SLAVE
VIOLA DAVIS,OSCAR,HOW TO GET AWAY WITH MURDER,Zenci,AKTRIS,EGOT
OCTAVIA SPENCER,OSCAR,THE HELP,Zenci,AKTRIS,AMERIKA
CHRISTOPHER NOLAN,INCEPTION,DARK KNIGHT,INTERSTELLAR,ZAMAN,OPPENHEIMER
QUENTIN TARANTINO,PULP FICTION,KILL BILL,KAN,AYAK,YÖNETMEN
STEVEN SPIELBERG,JAWS,SCHINDLER'S LIST,DINOZOR,OSCAR,E.T.
MARTIN SCORSESE,TAXI DRIVER,GOODFELLAS,DICAPRIO,DE NIRO,OSCAR
ALFRED HITCHCOCK,PSYCHO,VERTIGO,KORKU,KUŞLAR,INGILTERE
STANLEY KUBRICK,2001 SPACE ODYSSEY,SHINING,CLOCKWORK ORANGE,OSCAR,DAHI
JAMES CAMERON,TITANIC,AVATAR,TERMINATOR,MAVI,YÖNETMEN
RIDLEY SCOTT,GLADIATOR,ALIEN,BLADE RUNNER,INGILTERE,YÖNETMEN
DAVID FINCHER,FIGHT CLUB,SEVEN,ZODIAC,SOCIAL NETWORK,YÖNETMEN
TIM BURTON,BATMAN,GOTIK,KORKU,JOHNNY DEPP,HELENA BONHAM CARTER
PETER JACKSON,YÜZÜKLERIN EFENDISI,HOBBIT,OSCAR,YENI ZELANDA,GANDALF
GEORGE LUCAS,STAR WARS,LUKE SKYWALKER,DARTH VADER,INDIANA JONES,UZAY
