Slumdog Millionaire	Hindistan	Yarışma	Milyoner	Jamal	Dev Patel
Crash Film	Los Angeles	Irkçılık	Kaza	Paul Haggis	Oscar
Million Dollar Baby	Clint Eastwood	Hilary Swank	Boks	Kız	Nakavt
Chicago Film	Müzikal	Hapishane	Catherine Zeta-Jones	Renee Zellweger	Dans
A Beautiful Mind	Russell Crowe	John Nash	Şizofreni	Matematik	Nobel
American Beauty	Kevin Spacey	Gül	Komşu	Sam Mendes	Oscar
Shakespeare in Love	Gwyneth Paltrow	Tiyatro	Şair	İngiltere	Aşk
Titanic Film	Leonardo DiCaprio	Kate Winslet	Buzdağı	Gemi	Okyanus
Dances with Wolves	Kevin Costner	Kızılderili	Kurt	At	Ordu
Driving Miss Daisy	Morgan Freeman	Şoför	Yaslı Kadın	Dostluk	Amerika
Rain Man	Tom Cruise	Dustin Hoffman	Otizm	Kumarhane	Kardeş
The Last Emperor	Çin	İmparator	Bernardo Bertolucci	Yasak Şehir	Saray
Out of Africa	Meryl Streep	Robert Redford	Afrika	Kahve	Aşk
Terms of Endearment	Shirley MacLaine	Debra Winger	Anne Kız	Kanser	Gözyaşı
Gandhi Film	Ben Kingsley	Hindistan	Açlık Grevi	Barış	Tuz
Chariots of Fire	Koşu	Olimpiyat	Müzik	Vangelis	İngiltere
Ordinary People	Robert Redford	Aile	Trajedi	Psikolog	Kardeş
Kramer vs. Kramer	Dustin Hoffman	Meryl Streep	Boşanma	Çocuk	Velayet
The Deer Hunter	Robert De Niro	Vietnam	Rus Ruleti	Düğün	Geyik
Rocky Film	Sylvester Stallone	Boks	Philadelphia	Adrian	Merdiven
One Flew Over the Cuckoo's Nest	Jack Nicholson	Akıl Hastanesi	Hemşire Ratched	Guguk Kuşu	Deli
Avatar 2	James Cameron	Pandora	Su	Na'vi	Mavi
Gladiator 2	Paul Mescal	Ridley Scott	Roma	Arena	Gladyatör
Dune 2	Timothée Chalamet	Zendaya	Solucan	Çöl	Spice
The Batman	Robert Pattinson	Zoe Kravitz	Bulmaca	Gotham	Dedektif
Joker 2	Joaquin Phoenix	Lady Gaga	Müzikal	Arkham	Delilik
Deadpool 3	Ryan Reynolds	Hugh Jackman	Wolverine	Marvel	Kırmızı
Poor Things	Emma Stone	Yorgos Lanthimos	Bella Baxter	Beyin	Oscar
Anatomy of a Fall	Fransa	Koca	Düşme	Mahkeme	Köpek
Zone of Interest	Auschwitz	Nazi	Ses	Bahçe	Oscar
Past Lives	Kore	Çocukluk	Aşk	New York	Kader
Killers of the Flower Moon	Leonardo DiCaprio	Scorsese	Osage	Petrol	Cinayet
Spider-Man: Across the Spider-Verse	Miles Morales	Multiverse	Animasyon	Gwen	Spider-Cat
Guillermo del Toro's Pinocchio	Tahta	Kukla	İtalya	Stop Motion	Oscar
Everything Everywhere All at Once	Michelle Yeoh	Multiverse	Vergi	Sosis Parmak	Oscar
Top Gun: Maverick	Tom Cruise	Uçak	Pilot	Kask	F-18
Elvis Film	Austin Butler	Tom Hanks	Rock n Roll	Memphis	Şarkıcı
Tár Film	Cate Blanchett	Orkestra	Şef	Almanya	Müzik
The Fabelmans	Steven Spielberg	Kamera	Çocukluk	Sinema	Aile
Banshees of Inisherin	Colin Farrell	Brendan Gleeson	İrlanda	Parmak	Dostluk
Triangle of Sadness	Ruben Östlund	Yat	Kusma	Ada	Kaptan
CODA Film	İşitme Engelli	Müzik	Şarkı	Balıkçı	Oscar
Drive My Car	Japonya	Kırmızı Araba	Şoför	Tiyatro	Oscar
The Power of the Dog	Benedict Cumberbatch	Jane Campion	Kovboy	Keman	Oscar
Dune 1	Timothée Chalamet	Arrakis	Denis Villeneuve	Baharat	Çöl
Minari	Yuh-Jung Youn	Kore	Çiftlik	Büyükanne	Amerika
